gene_token	mutation_type	mutation_count	gene_total
CyHV3_ORF64	downstream_gene_variant	16	101
CyHV3_ORF64	missense_variant	43	101
CyHV3_ORF64	synonymous_variant	24	101
CyHV3_ORF64	upstream_gene_variant	18	101
CyHV3_ORF75	downstream_gene_variant	74	87
CyHV3_ORF75	upstream_gene_variant	13	87
CyHV3_ORF88	downstream_gene_variant	57	83
CyHV3_ORF88	synonymous_variant	12	83
CyHV3_ORF88	upstream_gene_variant	14	83
CyHV3_ORF89	downstream_gene_variant	21	79
CyHV3_ORF89	missense_variant	37	79
CyHV3_ORF89	synonymous_variant	4	79
CyHV3_ORF89	upstream_gene_variant	17	79
CyHV3_ORF86	downstream_gene_variant	15	37
CyHV3_ORF86	missense_variant	4	37
CyHV3_ORF86	upstream_gene_variant	18	37
CyHV3_ORF1_1	downstream_gene_variant	8	32
CyHV3_ORF1_1	missense_variant	4	32
CyHV3_ORF1_1	upstream_gene_variant	20	32
CyHV3_ORF31	downstream_gene_variant	14	23
CyHV3_ORF31	upstream_gene_variant	9	23
CyHV3_ORF154	downstream_gene_variant	8	15
CyHV3_ORF154	missense_variant	1	15
CyHV3_ORF154	upstream_gene_variant	6	15
